num_of_li,poly_anion,chalcogen,anion_1,anion_2,x_in_a,chal_in_a,x_in_c,chal_in_c,energy(ev),erel(mev/atom),cage_size_x_in_a,cage_size_chal_in_a,cage_size_x_in_c,cage_size_chal_in_c,std_cage_size,avg_cage_size,volume,conductivity,conductivity_min,conductivity_max
28,Ge,S,S,Br,0.75,0.25,0.25,0.75,-225.4185885,16.21156808,2.826847123,2.611310403,2.702418526,2.490964543,0.123047822,2.657885149,1098.84822,60.182375,30.954144,117.009157
28,Ge,S,S,Br,0.5,0.5,0.5,0.5,-224.8966267,26.24929404,2.786935759,2.669553674,2.742613424,2.608742869,0.068215072,2.701961431,1102.225886,40.823792,25.383127,65.657079
28,Ge,S,S,Br,0.5,0.5,0.5,0.5,-225.0874929,22.57879192,2.785376984,2.557679812,2.781302992,2.508552531,0.126320032,2.65822808,1109.656191,18.468147,14.364593,23.743969
28,Ge,S,S,Br,0.25,0.75,0.75,0.25,-224.9397336,25.42031635,2.703529981,2.536229888,2.783259993,2.644214646,0.090098104,2.666808627,1086.078627,99.970657,78.968337,126.558729
28,Ge,S,S,Br,0,1,1,0,-226.26159,0,2.537985838,2.537985838,2.687385832,2.687385832,0.074699997,2.612685835,1079.1267,29.279148,18.331159,46.765646
28,Sn,S,S,Br,1,0,0,1,-221.9265409,3.156680577,2.848044968,2.848044968,2.561323406,2.561323406,0.143360781,2.704684187,1181.638121,25.11251,16.088311,39.198533
28,Sn,S,S,Br,0.75,0.25,0.25,0.75,-221.5768336,9.881820769,2.914114797,2.474959069,2.782067926,2.591358858,0.16931853,2.690625162,1199.047085,2.965967,1.827268,4.814268
28,Sn,S,S,Br,0.5,0.5,0.5,0.5,-221.3833786,13.60211096,2.852481644,2.584209695,2.701549475,2.467824443,0.142445837,2.651516314,1190.608921,5.754193,4.244494,7.800868
28,Sn,S,S,Br,0.5,0.5,0.5,0.5,-221.5978695,9.477285385,3.072167485,2.548173047,2.789160439,2.483836765,0.231332123,2.723334434,1183.991178,9.367156,6.142854,14.28385
28,Sn,S,S,Br,0.25,0.75,0.75,0.25,-221.6914251,7.678138846,2.9054366,2.566607398,2.810915582,2.453166972,0.181801154,2.684031638,1171.40999,24.889387,12.490185,49.597471
28,Sn,S,S,Br,0,1,1,0,-222.0906883,0,2.555790297,2.555790297,2.750399061,2.750399061,0.097304382,2.653094679,1168.487026,46.272835,34.782119,61.559657
28,Si,S,S,Br,1,0,0,1,-234.3927517,0,2.90128268,2.90128268,2.491242693,2.491242693,0.205019993,2.696262687,1067.377151,83.737704,56.776616,123.501603
28,Si,S,S,Br,0.75,0.25,0.25,0.75,-233.4319808,18.4763625,2.853412623,2.505595492,2.774740129,2.488528065,0.161042373,2.655569077,1077.510418,15.421404,11.269588,21.102786
28,Si,S,S,Br,0.5,0.5,0.5,0.5,-233.4133205,18.83521519,2.801990556,2.552792245,2.805235113,2.46501084,0.150592826,2.656257188,1057.204424,68.094443,45.760901,101.327837
28,Si,S,S,Br,0.5,0.5,0.5,0.5,-233.402933,19.03497519,2.801840456,2.539054479,2.761508435,2.471203876,0.14106069,2.643401812,1071.094383,28.88048,19.523866,42.721156
28,Si,S,S,Br,0.25,0.75,0.75,0.25,-233.6633374,14.02719673,2.85847545,2.56313772,2.721278714,2.464187998,0.150500243,2.651769971,1053.117756,39.543997,39.543997,66.032362
28,Si,S,S,Br,0,1,1,0,-232.5498687,35.44005808,2.48738623,2.48738623,2.738075999,2.738075999,0.125344884,2.612731114,1064.512358,19.388322,9.549736,39.363082
28,Ge,S,S,I,1,0,0,1,-223.140732,0,3.039687496,3.039687496,2.526727218,2.526727218,0.256480139,2.783207357,1132.977767,40.097416,28.40888,56.595076
28,Ge,S,S,I,0.75,0.25,0.25,0.75,-222.5967522,10.46115019,3.008618805,2.506891924,2.940526768,2.581930392,0.21804396,2.759491972,1134.486432,43.547982,32.278916,58.751254
28,Ge,S,S,I,0.5,0.5,0.5,0.5,-221.9452538,22.98996519,2.95552492,2.645711798,2.890669091,2.518738935,0.177734119,2.752661186,1140.593198,25.673446,17.727379,37.181235
28,Ge,S,S,I,0.5,0.5,0.5,0.5,-222.1804811,18.46636288,2.980359167,2.636368743,2.912733322,2.533477522,0.185977959,2.765734689,1143.07181,12.183249,8.429386,17.608822
28,Ge,S,S,I,0.25,0.75,0.75,0.25,-221.6582507,28.50925558,3.00686017,2.545224293,2.901531893,2.470268157,0.22785613,2.730971128,1126.883856,60.531319,47.157551,77.697855
28,Ge,S,S,I,0,1,1,0,-222.9381155,3.896470962,2.505347868,2.505347868,2.840948786,2.840948786,0.167800459,2.673148327,1113.286722,18.635182,14.062152,24.695367
28,Sn,S,S,I,1,0,0,1,-219.4269396,0,3.077714983,3.077714983,2.58407695,2.58407695,0.246819017,2.830895966,1193.166312,17.757822,12.659492,24.90939
28,Sn,S,S,I,0.75,0.25,0.25,0.75,-219.0242851,7.743355962,3.104778051,2.628244091,3.018090921,2.668710182,0.209230647,2.854955811,1209.565751,6.791933,3.856487,11.961756
28,Sn,S,S,I,0.5,0.5,0.5,0.5,-218.6197966,15.52198058,3.083068834,2.632795598,2.930840494,2.628592519,0.195683169,2.818824361,1212.631752,22.085173,15.170101,32.15238
28,Sn,S,S,I,0.5,0.5,0.5,0.5,-219.1339199,5.634994231,2.948674797,2.62478739,3.086348858,2.569684854,0.216579597,2.807373975,1208.039385,28.995551,15.140738,55.528467
28,Sn,S,S,I,0.25,0.75,0.75,0.25,-219.1840451,4.6710475,2.916137131,2.604151822,2.995538861,2.505741137,0.205370797,2.755392238,1186.589342,40.236158,25.810894,62.723454
